f,P_mag,P_phase,G_mag,G_phase
1.27720809598568,-71.7509718263169,-8.78280711321429,-11.297379603123,-94.198361071235
1.28002030961811,-72.0833084367342,-7.64097939591579,-11.7297854230956,-97.4440722498109
1.28283871530768,-72.4071655365374,-6.33866398723922,-12.1680213341562,-101.092382786974
1.28566332668834,-72.720139461278,-4.8705032436344,-12.6117085115941,-105.237057942494
1.28849415742406,-73.0194607781583,-3.23240740054848,-13.0598966639112,-109.99053072173
1.29133122120889,-73.3019841298441,-1.42216837853903,-13.5105304848825,-115.484606997444
1.29417453176704,-73.5642001357186,0.559826787995917,-13.9595369833012,-121.867819452197
1.29702410285292,-73.8022775857964,2.70981484928575,-14.3993975102554,-129.296096636554
1.29987994825125,-74.0121435795401,5.01986656596705,-14.8172205462959,-137.911790750459
1.30274208177709,-74.1896066180746,7.47717701578745,-15.1928251537007,-147.805646848426
1.30561051727591,-74.3305223967565,10.0635500444864,-15.4983034074009,-158.960633399066
1.30848526862369,-74.4309942223726,12.75520130312,-15.7014406450823,-171.190786219893
1.31136634972693,-74.487590695774,15.5229884851586,-15.7744495432188,175.889445494545
1.31425377452278,-74.4975548511958,18.3331282459359,-15.7051078425208,162.822181681138
1.31714755697906,-74.4589743652204,21.1483797810436,-15.5027164126731,150.184457149164
1.32004771109435,-74.3708843801003,23.9295813234785,-15.1936000154678,138.447893470459
1.32295425089806,-74.2332837462814,26.6373442607927,-14.8097051397337,127.896120761171
1.32586719045047,-74.0470602118016,29.2336668646149,-14.3785192551951,118.6234722438
1.32878654384283,-73.8138361511014,31.6832404524688,-13.9187599129746,110.583863826085
1.33171232519744,-73.5357591492753,33.9542804038281,-13.4408469601179,103.649438209008
1.33464454866765,-73.2152679239303,36.0188009444749,-12.9493295323747,97.6568764893644
1.337583228438,-72.8548631180372,37.8523375148393,-12.4453042254077,92.4366679306877
1.34052837872428,-72.4569063339506,39.433180791498,-11.928115260849,87.8285180714242
1.34348001377353,-72.0234625531935,40.7412113837731,-11.3963354571192,83.6875840817739
1.34643814786421,-71.5561938680006,41.7564155031336,-10.8482496118087,79.8853234032488
1.3494027953062,-71.056308459872,42.4571286102822,-10.2820593751768,76.3074413752871
1.35237397044087,-70.5245693586847,42.8180074006141,-9.69596708243498,72.8503771571701
1.3553516876412,-69.9613737461911,42.8076809474467,-9.08824237883131,69.4170630708917
1.35833596131179,-69.3669269503729,42.38599026258,-8.45734718098111,65.9122614191808
1.36132680588898,-68.7415586262426,41.5007098003582,-7.80219266070352,62.2375497186506
1.36432423584087,-68.0862665788657,40.0836944106552,-7.12262587249246,58.2859605307183
1.36732826566745,-67.40363199589,38.0466036795541,-6.42029463090491,53.9364337493768
1.3703389099006,-66.6993299652094,35.2769255329194,-5.70011575990901,49.048783756784
1.37335618310422,-65.9845384550985,31.6363488243926,-4.97264952202269,43.4612025723766
1.37638009987428,-65.2795248875208,26.9662270345477,-4.25765837114884,36.995011350397
1.37941067483887,-64.6182628062907,21.1092594778436,-3.58870140383243,29.4757592211761
1.38244792265831,-64.0525079051331,13.9604230961975,-3.01719271579023,20.7836788114662
1.38549185802518,-63.6509296864526,5.5539792807956,-2.61151902137894,10.940302988558
1.38854249566442,-63.4866423348916,-3.84035254925948,-2.44455936614117,0.204318206574499
1.39159985033339,-63.6115275355598,-13.6942813472465,-2.56799905527139,-10.9055855619994
1.39466393682196,-64.0312406296439,-23.3490768607892,-2.98732870909988,-21.7390650691417
1.39773476995253,-64.7026681733389,-32.240640356365,-3.65929613256832,-31.7393751070704
1.40081236458016,-65.5563735108791,-40.0539499431147,-4.51434731239009,-40.597964115508
1.40389673559263,-66.5237210125275,-46.7234253730823,-5.48374696027289,-48.2549645199865
1.40698789791047,-67.5519728048956,-52.342456505845,-6.51467224779564,-54.8088264654037
