time,w_g
2.55,2.45911242970447e-05
2.5625,2.37274513188228e-05
2.575,2.27036926592433e-05
2.5875,2.15346139268603e-05
2.6,2.02366401818811e-05
2.6125,1.88272770241836e-05
2.625,1.73251718852097e-05
2.6375,1.57498092493335e-05
2.65,1.41210415289737e-05
2.6625,1.24594524072784e-05
2.675,1.07851694810541e-05
2.6875,9.11998582109844e-06
2.7,7.48244717178022e-06
2.7125,5.89405366916597e-06
2.725,4.37135359075144e-06
2.7375,2.94445990310149e-06
2.75,1.60901675448344e-06
2.7625,3.91435584634189e-07
2.775,-6.88179582097259e-07
2.7875,-1.62349007590534e-06
2.8,-2.40049901241121e-06
2.8125,-3.01101660582019e-06
2.825,-3.44691479721259e-06
2.8375,-3.70401579581093e-06
2.85,-3.7784450989071e-06
2.8625,-3.66884248510465e-06
2.875,-3.37647276129002e-06
2.8875,-2.90439857737143e-06
2.9,-2.25761714597372e-06
2.9125,-1.44369550682218e-06
2.925,-4.70925431201436e-07
2.9375,6.47240655473111e-07
2.95,1.90258363744689e-06
2.9625,3.26795423542525e-06
2.975,4.74623496153294e-06
2.9875,6.31816188177764e-06
3,7.94919188891628e-06
3.0125,9.63351528602699e-06
3.025,1.13473961810832e-05
3.0375,1.30726940823277e-05
3.05,1.47885185178953e-05
3.0625,1.64756351810192e-05
3.075,1.81143648009166e-05
3.0875,1.96860704162426e-05
3.1,2.11727499071024e-05
3.1125,2.25572656367241e-05
3.125,2.38236273808383e-05
3.1375,2.49574820737221e-05
3.15,2.59460555124226e-05
3.1625,2.67778544110171e-05
3.175,2.74434972674275e-05
3.1875,2.79352470337132e-05
3.2,2.82476581408406e-05
3.2125,2.83771152977842e-05
3.225,2.83218640595202e-05
3.2375,2.80826634800237e-05
3.25,2.76618617227468e-05
3.2625,2.70638006605791e-05
3.275,2.62948418721766e-05
3.2875,2.53629734978018e-05
3.3,2.42779783371825e-05
3.3125,2.30512089409536e-05
3.325,2.16954930679311e-05
3.3375,2.02247899503589e-05
3.35,1.86541503446953e-05
3.3625,1.69996621039041e-05
3.375,1.52782888607278e-05
3.3875,1.35074066479675e-05
3.4,1.17047819906962e-05
3.4125,9.88868499135998e-06
3.425,8.07696976658719e-06
3.4375,6.28735599458258e-06
3.45,4.53739770914236e-06
3.4625,2.84412108427426e-06
3.475,1.22287871839593e-06
3.4875,-3.093239531672e-07
3.5,-1.74255481141495e-06
3.5125,-3.04924635544711e-06
3.525,-4.24247331534003e-06
3.5375,-5.3013765696617e-06
3.55,-6.20877854056636e-06
3.5625,-6.96710973882642e-06
3.575,-7.56784486860002e-06
3.5875,-8.00922715091329e-06
3.6,-8.28927327146005e-06
3.6125,-8.40888035542079e-06
3.625,-8.37039797038034e-06
3.6375,-8.17818877140261e-06
3.65,-7.83811705684608e-06
3.6625,-7.35786538019021e-06
3.675,-6.74658307884607e-06
3.6875,-6.01533707613821e-06
3.7,-5.17570643383173e-06
3.7125,-4.24186192827729e-06
3.725,-3.22657277025106e-06
3.7375,-2.14914712035577e-06
3.75,-1.02041445171404e-06
3.7625,1.46109105593241e-07
3.775,1.32319664853772e-06
3.7875,2.50120726039706e-06
3.8,3.66169204851667e-06
3.8125,4.78877398220188e-06
3.825,5.86638229233697e-06
3.8375,6.87952846416232e-06
3.85,7.81397854204177e-06
3.8625,8.65658757197994e-06
3.875,9.39522278896459e-06
3.8875,1.00191347720574e-05
3.9,1.05192004950638e-05
3.9125,1.08875700248341e-05
3.925,1.11181240930523e-05
3.9375,1.12063656683638e-05
3.95,1.11494697593501e-05
3.9625,1.09463444835697e-05
3.975,1.05975911928806e-05
3.9875,1.01055253004262e-05
4,9.47414705971277e-06
4.0125,8.70895273381947e-06
4.025,7.81692442547433e-06
4.0375,6.80651088784886e-06
4.05,5.68736614081873e-06
4.0625,4.47046084548444e-06
4.075,3.16773449592899e-06
4.0875,1.79204423918167e-06
4.1,3.57150309535505e-07
4.1125,-1.12284655448358e-06
4.125,-2.63286755235088e-06
4.1375,-4.1589448108816e-06
4.15,-5.6828997331295e-06
4.1625,-7.19299010390453e-06
4.175,-8.67410701265698e-06
4.1875,-1.01104896873178e-05
4.2,-1.14885488277637e-05
4.2125,-1.27949200830161e-05
4.225,-1.40172251497269e-05
4.2375,-1.51437277745182e-05
4.25,-1.61640645185046e-05
4.2625,-1.70690845613726e-05
4.275,-1.78506239740972e-05
4.2875,-1.85021104686506e-05
4.3,-1.90185093811698e-05
4.3125,-1.93962331758992e-05
4.325,-1.96331126815119e-05
4.3375,-1.97287304252151e-05
4.35,-1.96840714238016e-05
4.3625,-1.95018504145987e-05
4.375,-1.91861555898395e-05
4.3875,-1.87426132157447e-05
4.4,-1.81783118147789e-05
4.4125,-1.75014789034347e-05
4.425,-1.67216242792006e-05
4.4375,-1.58493787327339e-05
4.45,-1.48960839348158e-05
4.4625,-1.38745846990477e-05
4.475,-1.27978791835832e-05
4.4875,-1.16791491445932e-05
4.5,-1.05326187361734e-05
4.5125,-9.37189146794018e-06
4.525,-8.21127922240784e-06
4.5375,-7.06475693043258e-06
4.55,-5.94573356875222e-06
4.5625,-4.8674619395293e-06
4.575,-3.84205690083459e-06
4.5875,-2.88163510108918e-06
4.6,-1.99637315475391e-06
4.6125,-1.19659950102365e-06
4.625,-4.89200809794526e-07
4.6375,1.14384984645214e-07
4.65,6.20865011304775e-07
4.6625,1.00630903954281e-06
4.675,1.27274491208497e-06
4.6875,1.42953108729909e-06
4.7,1.46623566041243e-06
4.7125,1.3879717692609e-06
4.725,1.19480383546619e-06
4.7375,8.92932651371039e-07
4.75,4.81819866422777e-07
4.7625,-3.01508145255353e-08
4.775,-6.21506801548125e-07
4.7875,-1.30566639524773e-06
4.8,-2.06222989847583e-06
4.8125,-2.88329987483553e-06
4.825,-3.75745498578985e-06
4.8375,-4.67365495788786e-06
4.85,-5.61999527966367e-06
4.8625,-6.58419477000947e-06
4.875,-7.55396938205521e-06
4.8875,-8.51697443530773e-06
4.9,-9.46096149082237e-06
4.9125,-1.03738648226972e-05
4.925,-1.12442258850693e-05
4.9375,-1.20608295862658e-05
4.95,-1.28131765364193e-05
4.9625,-1.34915676704978e-05
4.975,-1.40869215243739e-05
4.9875,-1.45913946511446e-05
5,-1.49981810229695e-05
5.0125,-1.53015641989464e-05
5.025,-1.54969768117147e-05
5.0375,-1.5581083640589e-05
5.05,-1.55513025784763e-05
5.0625,-1.5407274111358e-05
5.075,-1.51495073049354e-05
5.0875,-1.47799705323984e-05
5.1,-1.4301622253882e-05
5.1125,-1.37186684468136e-05
5.125,-1.30368557130653e-05
5.1375,-1.22627255863001e-05
5.15,-1.14038894866489e-05
5.1625,-1.0468865787472e-05
5.175,-9.46704993841779e-06
5.1875,-8.40871285027924e-06
5.2,-7.30414647721378e-06
5.2125,-6.16494389766757e-06
5.225,-5.00277846814605e-06
5.2375,-3.82871462449634e-06
5.25,-2.65472424319744e-06
5.2625,-1.49226641448089e-06
5.275,-3.52922637434794e-07
5.2875,7.52489551880186e-07
5.3,1.81339195463282e-06
5.3125,2.81993086121638e-06
5.325,3.76790246439209e-06
5.3375,4.63466068293946e-06
5.35,5.42565400441742e-06
5.3625,6.13117887806339e-06
5.375,6.7451091081343e-06
5.3875,7.26372853892005e-06
5.4,7.68351319978951e-06
5.4125,8.00267616260228e-06
5.425,8.22031152692498e-06
5.4375,8.33672606738547e-06
5.45,8.35352133006761e-06
5.4625,8.27330823670734e-06
5.475,8.09974761546853e-06
5.4875,7.83759828171021e-06
5.5,7.49257415438005e-06
5.5125,7.07124223936223e-06
5.525,6.58098685136994e-06
5.5375,6.02993342772517e-06
5.55,5.42677576043388e-06
5.5625,4.78075526925041e-06
5.575,4.10156272022129e-06
5.5875,3.39892485400269e-06
5.6,2.68325604747075e-06
5.6125,1.96398666604381e-06
5.625,1.25342285235687e-06
5.6375,5.59197400874773e-07
5.65,-1.10462688835338e-07
5.6625,-7.42973643830005e-07
5.675,-1.33133275761741e-06
5.6875,-1.8667321345496e-06
5.7,-2.34197544645758e-06
5.7125,-2.75027026476091e-06
5.725,-3.08582592816597e-06
5.7375,-3.34370972443773e-06
5.75,-3.51990011090843e-06
5.7625,-3.61145030889065e-06
5.775,-3.61635840160466e-06
5.7875,-3.53380677764395e-06
5.8,-3.3640290390236e-06
5.8125,-3.10823329424757e-06
5.825,-2.76871906996297e-06
5.8375,-2.34881330736725e-06
5.85,-1.85280970320694e-06
5.8625,-1.2858406356091e-06
5.875,-6.54186641640034e-07
5.8875,3.60536853129308e-08
5.9,7.7326782765983e-07
5.9125,1.55894003827726e-06
5.925,2.37642027886472e-06
5.9375,3.21751364198416e-06
5.95,4.07476064836108e-06
5.9625,4.93787110700577e-06
