time,w_g
3.1625,3.17515010451963e-05
3.175,3.30880268011948e-05
3.1875,3.42118165002053e-05
3.2,3.5109726528788e-05
3.2125,3.57722045380464e-05
3.225,3.61915119758033e-05
3.2375,3.63623907434041e-05
3.25,3.62827073506553e-05
3.2625,3.59533272094777e-05
3.275,3.53774856274537e-05
3.2875,3.45608060048798e-05
3.3,3.35115239273515e-05
3.3125,3.22401980979514e-05
3.325,3.0759918224671e-05
3.3375,2.90854340277731e-05
3.35,2.7233679499842e-05
3.3625,2.52231501775225e-05
3.375,2.30742117548839e-05
3.3875,2.08081324279889e-05
3.4,1.8447661004317e-05
3.4125,1.60160760634934e-05
3.425,1.35374120807369e-05
3.4375,1.10357850810039e-05
3.45,8.53523135586231e-06
3.4625,6.05986532145608e-06
3.475,3.63335398976049e-06
3.4875,1.27924828258787e-06
3.5,-9.81733943870941e-07
3.5125,-3.12679347752043e-06
3.525,-5.1408986296945e-06
3.5375,-6.99166579602471e-06
3.55,-8.68362984799742e-06
3.5625,-1.02047822775077e-05
3.575,-1.15274100109647e-05
3.5875,-1.26508649277691e-05
3.6,-1.35660107917711e-05
3.6125,-1.42703893801247e-05
3.625,-1.47619838903307e-05
3.6375,-1.50424383744804e-05
3.65,-1.51156520433455e-05
3.6625,-1.49880059322727e-05
3.675,-1.46683398404997e-05
3.6875,-1.41676065028088e-05
3.7,-1.34988311149024e-05
3.7125,-1.2676910437105e-05
3.725,-1.17185708989892e-05
3.7375,-1.06419922251196e-05
3.75,-9.46662893055943e-06
3.7625,-8.21289359190522e-06
3.775,-6.90181671158849e-06
3.7875,-5.5548840110411e-06
3.8,-4.19359285874899e-06
3.8125,-2.84019060141356e-06
3.825,-1.51244886232687e-06
3.8375,-2.34406245987941e-07
3.85,9.73890707482564e-07
3.8625,2.09555562303432e-06
3.875,3.11358767095535e-06
3.8875,4.01264599966415e-06
3.9,4.77893766166317e-06
3.9125,5.40041751265181e-06
3.925,5.8670417537042e-06
3.9375,6.17093675827053e-06
3.95,6.30624520763888e-06
3.9625,6.26916472021198e-06
3.975,6.0580152940733e-06
3.9875,5.6733671898325e-06
4,5.11772628746202e-06
4.0125,4.39582359904439e-06
4.025,3.51436105014213e-06
4.0375,2.48163673115486e-06
4.05,1.3078603216065e-06
4.0625,4.79955558810036e-09
4.075,-1.41348481188792e-06
4.0875,-2.93377760704911e-06
4.1,-4.53736105283873e-06
4.1125,-6.21828686017973e-06
4.125,-7.94029764475305e-06
4.1375,-9.69197567998619e-06
4.15,-1.14634087950696e-05
4.1625,-1.32297297200127e-05
4.175,-1.49740538112269e-05
4.1875,-1.66769769350688e-05
4.2,-1.83209315842926e-05
4.2125,-1.98886322089035e-05
4.225,-2.13637811704959e-05
4.2375,-2.27312527643309e-05
4.25,-2.39768675362147e-05
4.2625,-2.50883927762006e-05
4.275,-2.60550338989136e-05
4.2875,-2.68674749580948e-05
4.3,-2.75187369604295e-05
4.3125,-2.80032272675901e-05
4.325,-2.83174864315234e-05
4.3375,-2.84605148159126e-05
4.35,-2.84331113106954e-05
4.3625,-2.8238296737084e-05
4.375,-2.78808661929405e-05
4.3875,-2.736754575814e-05
