f,C_mag,C_phase
0.000719211887222118,15.2759982403684,-100.927793962504
0.000732596542821523,15.4329506669922,-101.084058011618
0.000746230289139111,15.5897904134146,-101.243936451814
0.000760117761795533,15.746513247394,-101.407475144678
0.000774263682681127,15.9031147987517,-101.574720731283
0.000788672861561415,16.0595905549701,-101.745720623719
0.000803350197712473,16.2159358567066,-101.920522995675
0.000818300681586739,16.3721458932253,-102.09917677202
0.000833529396509819,16.5282156977476,-102.28173161731
0.000849041520408874,16.6841401427251,-102.468237923189
0.000864842327573172,16.8399139350355,-102.658746794594
0.000880937190447399,16.9955316111063,-102.853310034723
0.000897331581458352,17.1509875319685,-103.051980128679
0.000914031074875623,17.3062758782455,-103.254810225749
0.000931041348706907,17.4613906450806,-103.461854120228
0.000948368186628592,17.6163256370093,-103.673166230721
